PuzzleId,FEN,Moves,Rating,RatingDeviation,Popularity,NbPlays,Themes,GameUrl,OpeningTags
01YqT,3b4/3P1p2/8/1P6/2K4k/8/8/8 b - - 0 50,f7f5 c4c5 f5f4 b5b6 f4f3 b6b7 f3f2 b7b8q,1687,75,100,87,endgame,https://lichess.org/LhpTb3sv/black#100,
01ZfK,2kr3r/pp1nqpb1/2P2n2/7p/2B3b1/2N1B1Q1/PPP2PPP/R4RK1 b - - 0 14,b7c6 c4a6,1054,142,100,27,mate,https://lichess.org/y4oBLt9G/black#28,Pirc_Defense Pirc_Defense_Other_variations
01d9E,2bR2k1/2q3pp/5p2/1pb1pN2/2p1P1Q1/2P3P1/1P3PBP/6K1 b - - 0 29,c7d8 g4g7,760,78,100,181,endgame kingsideAttack mate,https://lichess.org/jmAsmhU1/black#58,
01fP3,r2qkb1r/p1pnp2p/1p4N1/5p1Q/3P4/2N5/PPP2PbP/R1B1K2R b KQkq - 0 11,h7g6 h5g6,1400,221,100,4,mate,https://lichess.org/B8Qs9R9Z/black#22,Owen_Defense Owen_Defense_Other_variations
01g0p,3k4/1q2b3/4P1Q1/1p1b4/2pP4/2P3B1/1P5P/6K1 b - - 0 37,b7c6 g6g8 c6e8 g3c7 d8c7 g8e8,1090,76,100,247,endgame,https://lichess.org/T7E6eT8e/black#74,
01k4A,rnbq1rk1/1pp1bppn/p2pp3/6PQ/2PPP3/2N5/PP1N1PP1/R3KB1R b KQ - 2 10,e7g5 h5h7,541,84,100,291,kingsideAttack mate,https://lichess.org/eO5X1eK9/black#20,Indian_Defense Indian_Defense_Anti-Nimzo-Indian
01kUc,7R/8/5p1k/7p/4P1r1/5KP1/8/8 b - - 16 56,h6g6 h8g8 g6f7 g8g4 h5g4 f3g4,814,81,100,48,endgame,https://lichess.org/ESQYQ2LN/black#112,
01kih,3r2k1/pp3pp1/1n4p1/2p5/6P1/1B3PKP/PP6/4R3 b - - 5 28,d8d2 e1e8 g8h7 b3f7,1083,127,100,15,deflection endgame,https://lichess.org/mXVYDssc/black#56,
01knl,r1b1r1k1/pp3p2/2p3pp/8/2P1BPN1/2P5/P5PP/R4RK1 b - - 0 17,e8e4 g4f6 g8f8 f6e4,791,77,100,112,endgame fork,https://lichess.org/0hq2kxlO/black#34,Kings_Indian_Defense Kings_Indian_Defense_Orthodox_Variation
01ltP,r3kb1r/1p3p2/p2p4/3QpPB1/P5P1/5P2/1Pq5/R4RK1 w kq - 0 22,d5b7 c2h2,1170,271,100,13,mate,https://lichess.org/Kw0bRoN4#43,
